municipality_code,election_year,party_code,party_name,eligible_voters,valid_votes,party_votes,seats
0180,2018,S,Socialdemokraterna,744000,598000,135000,23
0180,2018,M,Moderaterna,744000,598000,130000,22
0180,2018,V,Vänsterpartiet,744000,598000,82000,13
0180,2022,S,Socialdemokraterna,765000,607000,178000,31
0180,2022,M,Moderaterna,765000,607000,116000,20
0180,2022,V,Vänsterpartiet,765000,607000,93000,16
0580,2018,S,Socialdemokraterna,124000,103000,31000,22
0580,2018,M,Moderaterna,124000,103000,22000,15
0580,2018,C,Centerpartiet,124000,103000,10000,7
0580,2022,S,Socialdemokraterna,129000,105000,35000,24
0580,2022,M,Moderaterna,129000,105000,21000,14
0580,2022,C,Centerpartiet,129000,105000,8000,5
1280,2018,S,Socialdemokraterna,250000,195000,58000,20
1280,2018,M,Moderaterna,250000,195000,39000,14
1280,2018,SD,Sverigedemokraterna,250000,195000,32000,11
1280,2022,S,Socialdemokraterna,270000,204000,65000,22
1280,2022,M,Moderaterna,270000,204000,35000,12
1280,2022,SD,Sverigedemokraterna,270000,204000,42000,14

