municipality_code,year,sex,age,population_count
0180,2022,male,17,94000
0180,2022,female,17,89000
0180,2022,male,64,304000
0180,2022,female,64,306000
0180,2022,male,79,62000
0180,2022,female,79,71000
0180,2022,male,85,20000
0180,2022,female,85,31000
0180,2023,male,17,95000
0180,2023,female,17,90000
0180,2023,male,64,308000
0180,2023,female,64,310000
0180,2023,male,79,63000
0180,2023,female,79,73000
0180,2023,male,85,20500
0180,2023,female,85,31500
0180,2024,male,17,95500
0180,2024,female,17,90500
0180,2024,male,64,312000
0180,2024,female,64,314000
0180,2024,male,79,64000
0180,2024,female,79,74000
0180,2024,male,85,21000
0180,2024,female,85,32500
0580,2022,male,17,18000
0580,2022,female,17,17000
0580,2022,male,64,52000
0580,2022,female,64,51000
0580,2022,male,79,11500
0580,2022,female,79,13000
0580,2022,male,85,3500
0580,2022,female,85,5000
0580,2023,male,17,18400
0580,2023,female,17,17400
0580,2023,male,64,53000
0580,2023,female,64,52000
0580,2023,male,79,11700
0580,2023,female,79,13300
0580,2023,male,85,3600
0580,2023,female,85,5100
0580,2024,male,17,18700
0580,2024,female,17,17700
0580,2024,male,64,54000
0580,2024,female,64,53000
0580,2024,male,79,11900
0580,2024,female,79,13600
0580,2024,male,85,3700
0580,2024,female,85,5300
1280,2022,male,17,37000
1280,2022,female,17,35000
1280,2022,male,64,112000
1280,2022,female,64,108000
1280,2022,male,79,18500
1280,2022,female,79,21000
1280,2022,male,85,5200
1280,2022,female,85,7600
1280,2023,male,17,38200
1280,2023,female,17,36200
1280,2023,male,64,115000
1280,2023,female,64,111000
1280,2023,male,79,19000
1280,2023,female,79,21700
1280,2023,male,85,5400
1280,2023,female,85,7900
1280,2024,male,17,39500
1280,2024,female,17,37500
1280,2024,male,64,118500
1280,2024,female,64,114000
1280,2024,male,79,19500
1280,2024,female,79,22400
1280,2024,male,85,5600
1280,2024,female,85,8200

